ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151318-179828-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:13:18 WP-00643
347,849.64,972.19,12848.64
348,849.78,974.05,12865.10
349,849.91,975.91,12848.23
350,850.05,977.77,12878.91
351,850.18,979.63,12884.44
352,850.31,981.49,12902.57
353,850.45,983.35,12928.32
354,850.58,985.20,12923.20
355,850.72,987.06,12929.04
356,850.85,988.91,12959.98
357,850.99,990.76,12966.22
358,851.12,992.61,12981.65
359,851.25,994.46,12985.12
360,851.39,996.31,13008.05
361,851.52,998.16,13006.16
362,851.66,1000.01,13020.00
363,851.79,1001.85,13042.63
364,851.92,1003.70,13051.25
365,852.06,1005.54,13078.12
366,852.19,1007.39,13082.30
367,852.33,1009.23,13102.79
368,852.46,1011.07,13096.63
369,852.59,1012.91,13108.70
370,852.73,1014.75,13101.15
371,852.86,1016.59,13125.01
372,852.99,1018.43,13103.58
373,853.13,1020.26,13134.93
374,853.26,1022.10,13123.32
375,853.39,1023.93,13110.89
376,853.53,1025.77,13153.79
377,853.66,1027.60,13148.01
378,853.80,1029.43,13155.00
379,853.93,1031.26,13168.76
380,854.06,1033.09,13165.47
381,854.20,1034.92,13156.82
382,854.33,1036.75,13164.47
383,854.46,1038.57,13150.01
384,854.60,1040.40,13142.73
385,854.73,1042.22,13149.90
386,854.86,1044.05,13149.88
387,855.00,1045.87,13166.35
388,855.13,1047.69,13193.60
389,855.26,1049.51,13189.17
390,855.39,1051.33,13202.99
391,855.53,1053.15,13206.33
392,855.66,1054.97,13190.02
393,855.79,1056.78,13208.76
394,855.93,1058.60,13218.51
395,856.06,1060.41,13225.98
396,856.19,1062.23,13210.78
397,856.33,1064.04,13252.59
398,856.46,1065.85,13240.06
399,856.59,1067.66,13256.00
400,856.72,1069.47,13277.30
401,856.86,1071.28,13304.59
402,856.99,1073.09,13300.64
403,857.12,1074.90,13318.99
404,857.26,1076.70,13358.48
405,857.39,1078.51,13365.02
406,857.52,1080.31,13353.96
407,857.65,1082.11,13361.99
408,857.79,1083.92,13367.68
409,857.92,1085.72,13382.39
410,858.05,1087.52,13406.49
411,858.18,1089.31,13406.37
412,858.32,1091.11,13417.95
413,858.45,1092.91,13456.66
414,858.58,1094.70,13450.87
415,858.71,1096.50,13489.53
416,858.84,1098.29,13465.65
417,858.98,1100.09,13503.10
418,859.11,1101.88,13518.72
419,859.24,1103.67,13507.26
420,859.37,1105.46,13507.47
421,859.51,1107.25,13521.76
422,859.64,1109.04,13540.02
423,859.77,1110.82,13535.77
424,859.90,1112.61,13566.89
425,860.03,1114.39,13579.16
426,860.17,1116.18,13556.40
427,860.30,1117.96,13587.81
428,860.43,1119.74,13602.22
429,860.56,1121.52,13590.04
430,860.69,1123.30,13576.23
431,860.83,1125.08,13553.17
432,860.96,1126.86,13584.84
433,861.09,1128.64,13614.34
434,861.22,1130.41,13598.79
435,861.35,1132.19,13590.61
436,861.48,1133.96,13604.23
437,861.62,1135.74,13610.79
438,861.75,1137.51,13593.97
439,861.88,1139.28,13622.86
440,862.01,1141.05,13639.35
441,862.14,1142.82,13604.76
442,862.27,1144.59,13616.75
443,862.40,1146.35,13589.39
444,862.54,1148.12,13592.02
445,862.67,1149.88,13586.01
446,862.80,1151.65,13585.20
447,862.93,1153.41,13596.57
448,863.06,1155.17,13598.94
449,863.19,1156.93,13606.25
450,863.32,1158.69,13617.44
451,863.45,1160.45,13627.60
452,863.59,1162.21,13618.51
453,863.72,1163.97,13611.69
454,863.85,1165.73,13599.67
455,863.98,1167.48,13606.19
456,864.11,1169.23,13571.80
457,864.24,1170.99,13625.96
458,864.37,1172.74,13600.03
459,864.50,1174.49,13605.16
460,864.63,1176.24,13624.70
461,864.76,1177.99,13644.07
462,864.89,1179.74,13647.57
463,865.03,1181.49,13666.88
464,865.16,1183.23,13665.84
465,865.29,1184.98,13664.91
466,865.42,1186.72,13665.32
467,865.55,1188.46,13651.09
468,865.68,1190.21,13674.27
469,865.81,1191.95,13663.37
470,865.94,1193.69,13674.72
471,866.07,1195.43,13705.13
472,866.20,1197.17,13673.98
473,866.33,1198.90,13716.53
474,866.46,1200.64,13731.62
475,866.59,1202.38,13722.13
476,866.72,1204.11,13725.43
477,866.85,1205.84,13730.67
478,866.98,1207.58,13739.93
479,867.11,1209.31,13733.88
480,867.24,1211.04,13715.20
481,867.37,1212.77,13736.96
482,867.50,1214.49,13743.53
483,867.63,1216.22,13737.83
484,867.76,1217.95,13773.55
485,867.89,1219.67,13783.37
486,868.02,1221.40,13766.94
487,868.15,1223.12,13787.37
488,868.28,1224.84,13783.09
489,868.41,1226.57,13770.15
490,868.54,1228.29,13777.24
491,868.67,1230.01,13774.90
492,868.80,1231.72,13778.53
493,868.93,1233.44,13784.97
494,869.06,1235.16,13789.18
495,869.19,1236.87,13768.10
496,869.32,1238.59,13799.77
497,869.45,1240.30,13805.17
498,869.58,1242.01,13799.97
499,869.71,1243.73,13843.15
500,869.84,1245.44,13811.17
501,869.97,1247.15,13804.05
502,870.10,1248.85,13854.88
503,870.23,1250.56,13824.63
504,870.35,1252.27,13821.77
505,870.48,1253.97,13863.55
506,870.61,1255.68,13873.64
507,870.74,1257.38,13872.54
508,870.87,1259.08,13886.55
509,871.00,1260.79,13894.67
510,871.13,1262.49,13898.77
511,871.26,1264.19,13925.62
512,871.39,1265.88,13923.11
513,871.52,1267.58,13924.83
514,871.64,1269.28,13934.38
515,871.77,1270.97,13935.24
516,871.90,1272.67,13938.18
517,872.03,1274.36,13923.18
518,872.16,1276.05,13936.15
519,872.29,1277.75,13941.11
520,872.42,1279.44,13951.81
521,872.55,1281.13,13940.44
522,872.67,1282.82,13932.38
523,872.80,1284.50,13930.78
524,872.93,1286.19,13927.53
525,873.06,1287.88,13904.59
526,873.19,1289.56,13913.30
527,873.32,1291.24,13883.65
528,873.45,1292.93,13896.12
529,873.57,1294.61,13897.83
530,873.70,1296.29,13883.70
531,873.83,1297.97,13888.88
532,873.96,1299.65,13898.15
533,874.09,1301.33,13887.80
534,874.21,1303.00,13894.34
535,874.34,1304.68,13871.35
536,874.47,1306.35,13852.34
537,874.60,1308.03,13836.67
538,874.73,1309.70,13832.77
539,874.85,1311.37,13797.60
540,874.98,1313.04,13791.26
541,875.11,1314.71,13798.56
542,875.24,1316.38,13792.59
543,875.37,1318.05,13813.46
544,875.49,1319.71,13819.57
545,875.62,1321.38,13797.13
546,875.75,1323.05,13773.23
547,875.88,1324.71,13793.16
548,876.00,1326.37,13777.56
549,876.13,1328.03,13751.66
550,876.26,1329.69,13747.68
551,876.39,1331.35,13744.98
552,876.51,1333.01,13764.86
553,876.64,1334.67,13740.45
554,876.77,1336.33,13759.16
555,876.90,1337.98,13780.65
556,877.02,1339.64,13755.76
557,877.15,1341.29,13781.19
558,877.28,1342.95,13778.44
559,877.41,1344.60,13793.69
560,877.53,1346.25,13781.34
561,877.66,1347.90,13772.21
562,877.79,1349.55,13786.62
563,877.91,1351.19,13763.87
564,878.04,1352.84,13778.08
565,878.17,1354.49,13775.72
566,878.29,1356.13,13782.56
567,878.42,1357.78,13784.71
568,878.55,1359.42,13793.52
569,878.67,1361.06,13807.60
570,878.80,1362.70,13810.90
571,878.93,1364.34,13808.01
572,879.05,1365.98,13819.12
573,879.18,1367.62,13826.50
574,879.31,1369.26,13804.20
575,879.43,1370.89,13797.22
576,879.56,1372.53,13814.75
577,879.69,1374.16,13803.64
578,879.81,1375.79,13806.94
579,879.94,1377.43,13817.54
580,880.07,1379.06,13786.95
581,880.19,1380.69,13820.97
582,880.32,1382.32,13810.56
583,880.44,1383.94,13803.23
584,880.57,1385.57,13800.03
585,880.70,1387.20,13793.89
586,880.82,1388.82,13773.62
587,880.95,1390.45,13748.91
588,881.08,1392.07,13742.91
589,881.20,1393.69,13734.61
590,881.33,1395.31,13735.03
591,881.45,1396.93,13732.73
592,881.58,1398.55,13742.27
593,881.70,1400.17,13701.99
594,881.83,1401.79,13708.40
595,881.96,1403.40,13699.35
596,882.08,1405.02,13662.09
597,882.21,1406.63,13665.72
598,882.33,1408.25,13652.50
599,882.46,1409.86,13660.65
600,882.58,1411.47,13658.89
601,882.71,1413.08,13651.79
602,882.83,1414.69,13631.56
603,882.96,1416.30,13641.99
604,883.09,1417.90,13643.22
605,883.21,1419.51,13634.49
606,883.34,1421.12,13648.27
607,883.46,1422.72,13638.73
608,883.59,1424.32,13626.62
609,883.71,1425.93,13605.79
610,883.84,1427.53,13620.47
611,883.96,1429.13,13598.90
612,884.09,1430.73,13627.84
613,884.21,1432.32,13610.55
614,884.34,1433.92,13647.15
615,884.46,1435.52,13639.28
616,884.59,1437.11,13618.77
617,884.71,1438.71,13636.95
618,884.84,1440.30,13642.50
619,884.96,1441.89,13650.31
620,885.08,1443.48,13640.69
621,885.21,1445.08,13657.31
622,885.33,1446.66,13651.07
623,885.46,1448.25,13640.96
624,885.58,1449.84,13659.83
625,885.71,1451.43,13648.92
626,885.83,1453.01,13663.98
627,885.96,1454.60,13684.03
628,886.08,1456.18,13652.63
629,886.20,1457.76,13667.50
630,886.33,1459.34,13676.09
631,886.45,1460.92,13658.11
632,886.58,1462.50,13663.55
633,886.70,1464.08,13621.92
634,886.83,1465.66,13641.33
635,886.95,1467.24,13636.31
636,887.07,1468.81,13640.10
637,887.20,1470.39,13627.92
638,887.32,1471.96,13648.99
639,887.44,1473.53,13618.59
640,887.57,1475.10,13625.91
641,887.69,1476.67,13617.36
642,887.82,1478.24,13630.65
643,887.94,1479.81,13606.48
644,888.06,1481.38,13578.60
645,888.19,1482.94,13591.55
646,888.31,1484.51,13567.24
647,888.43,1486.07,13557.43
648,888.56,1487.64,13549.63
649,888.68,1489.20,13546.93
650,888.80,1490.76,13532.40
651,888.93,1492.32,13495.07
652,889.05,1493.88,13517.26
653,889.17,1495.44,13498.48
654,889.30,1497.00,13488.47
655,889.42,1498.55,13456.64
656,889.54,1500.11,13482.74
657,889.67,1501.66,13436.17
658,889.79,1503.22,13417.10
659,889.91,1504.77,13417.65
660,890.03,1506.32,13431.42
661,890.16,1507.87,13407.38
662,890.28,1509.42,13417.33
663,890.40,1510.97,13408.06
664,890.53,1512.52,13410.04
665,890.65,1514.07,13393.23
666,890.77,1515.61,13406.16
667,890.89,1517.16,13404.02
668,891.02,1518.70,13406.86
669,891.14,1520.24,13385.35
670,891.26,1521.78,13375.75
671,891.38,1523.32,13380.70
672,891.51,1524.86,13397.47
673,891.63,1526.40,13384.71
674,891.75,1527.94,13402.79
675,891.87,1529.48,13391.91
676,891.99,1531.01,13394.38
677,892.12,1532.55,13418.26
