Benzophenone,Alanine,Oatmeal agar,Oatmeal agar (raw),Wavenumber,Wavelength
1127.93,1347.700372,47300.34257,47223.9,681.8779939,829.19
1165.52,1336.160672,47316.92092,47218.74,683.9138477,829.33
1173.86,1328.424247,47333.18671,47242.24,685.8036681,829.46
1158.2,1316.291102,47349.13546,47252.36,687.8381969,829.6
1129.98,1326.061241,47364.76222,47248.57,689.8720392,829.74
1112.65,1322.834671,47380.06157,47334.62,691.9051952,829.88
1111.14,1318.411395,47395.02749,47305.54,693.9376654,830.02
1123.98,1299.091418,47409.65376,47326.5,695.8243453,830.15
1152.22,1301.574746,47423.93369,47291.76,697.8554937,830.29
1204.54,1294.661384,47437.86018,47323.1,699.8859573,830.43
1262.63,1292.351336,47451.42547,47336.7,701.9157363,830.57
1301.65,1288.444608,47464.62123,47368.87,703.9448312,830.71
1331.03,1273.741204,47477.43855,47323.92,705.8283784,830.84
1373.27,1278.441129,47489.86805,47456.34,707.8561549,830.98
1464.98,1270.544387,47501.89957,47477.73,709.8832481,831.12
1745.31,1257.050985,47513.5228,47489.22,711.9096586,831.26
2528.95,1257.760927,47524.72728,47538.39,713.9353866,831.4
4324.7,1266.574218,47535.50247,47646.75,715.815809,831.53
6867.79,1248.190862,47545.83785,47590.12,717.8402218,831.67
8399.15,1255.010864,47555.7235,47567.79,719.8639531,831.81
8716.67,1250.33423,47565.1497,47700.93,721.8870034,831.95
8066.77,1254.560964,47574.10679,47721.85,723.7649405,832.08
6186.81,1270.991071,47582.58579,47647.23,725.7866782,832.22
3664.83,1270.424556,47590.57846,47682.71,727.8077358,832.36
2101.8,1296.961423,47598.07689,47813.22,729.8281136,832.5
1487.06,1297.401678,47605.07362,47898.51,731.7035703,832.63
1242.02,1305.745326,47611.56227,47897.21,733.7226382,832.77
1139.56,1316.49237,47617.53793,47933.39,735.7410272,832.91
1092.85,1331.142817,47622.99712,47906.23,737.7587379,833.05
1066.71,1318.29667,47627.93792,47956.02,739.6317192,833.18
1059.08,1394.653935,47632.35986,47950.49,741.6481225,833.32
1042.91,1361.814616,47636.26408,47915.58,743.6638484,833.46
1040.23,1386.278718,47639.65332,47857.01,745.6788972,833.6
1042.79,1403.046246,47642.53173,47867.78,747.549408,833.73
1051.48,1458.017205,47644.90453,47931.96,749.563152,833.87
1070.02,1495.091599,47646.77807,47780.07,751.5762199,834.01
