ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151847-272046-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:18:47 WP-00643
853,912.85,1787.19,812.60
854,912.97,1788.55,812.51
855,913.08,1789.91,813.64
856,913.19,1791.27,812.83
857,913.31,1792.62,813.86
858,913.42,1793.98,812.74
859,913.53,1795.33,813.43
860,913.65,1796.69,814.23
861,913.76,1798.04,814.41
862,913.87,1799.39,812.06
863,913.98,1800.74,812.92
864,914.10,1802.09,811.37
865,914.21,1803.44,812.32
866,914.32,1804.78,811.42
867,914.44,1806.13,817.25
868,914.55,1807.47,811.19
869,914.66,1808.82,810.65
870,914.77,1810.16,810.71
871,914.88,1811.50,813.13
872,915.00,1812.85,810.41
873,915.11,1814.19,810.95
874,915.22,1815.52,809.42
875,915.33,1816.86,810.42
876,915.45,1818.20,809.26
877,915.56,1819.54,808.25
878,915.67,1820.87,810.09
879,915.78,1822.21,809.37
880,915.89,1823.54,808.93
881,916.01,1824.87,809.91
882,916.12,1826.20,810.03
883,916.23,1827.53,810.22
884,916.34,1828.86,809.44
885,916.45,1830.19,809.88
886,916.56,1831.52,809.42
887,916.67,1832.84,809.62
888,916.79,1834.17,809.63
889,916.90,1835.49,809.73
