ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151809-671888-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:18:09 WP-00643
605,883.21,1419.51,945.34
606,883.34,1421.12,939.88
607,883.46,1422.72,933.86
608,883.59,1424.32,931.72
609,883.71,1425.93,929.81
610,883.84,1427.53,933.24
611,883.96,1429.13,937.23
612,884.09,1430.73,943.04
613,884.21,1432.32,951.86
614,884.34,1433.92,967.36
615,884.46,1435.52,990.56
616,884.59,1437.11,1025.13
617,884.71,1438.71,1079.11
618,884.84,1440.30,1167.36
619,884.96,1441.89,1308.55
620,885.08,1443.48,1511.54
621,885.21,1445.08,1760.78
622,885.33,1446.66,1978.95
623,885.46,1448.25,2089.22
624,885.58,1449.84,2082.40
625,885.71,1451.43,1956.63
626,885.83,1453.01,1734.64
627,885.96,1454.60,1476.41
628,886.08,1456.18,1266.97
629,886.20,1457.76,1131.28
630,886.33,1459.34,1049.73
631,886.45,1460.92,1001.44
632,886.58,1462.50,981.00
633,886.70,1464.08,970.47
634,886.83,1465.66,966.71
635,886.95,1467.24,966.97
636,887.07,1468.81,969.93
637,887.20,1470.39,974.24
638,887.32,1471.96,978.04
639,887.44,1473.53,981.65
640,887.57,1475.10,990.06
641,887.69,1476.67,1008.96
642,887.82,1478.24,1039.97
643,887.94,1479.81,1088.71
644,888.06,1481.38,1175.33
645,888.19,1482.94,1334.15
646,888.31,1484.51,1583.67
647,888.43,1486.07,1797.10
648,888.56,1487.64,1931.92
649,888.68,1489.20,2005.73
650,888.80,1490.76,1965.98
651,888.93,1492.32,1785.01
652,889.05,1493.88,1559.97
653,889.17,1495.44,1389.04
654,889.30,1497.00,1254.65
655,889.42,1498.55,1157.66
656,889.54,1500.11,1107.69
657,889.67,1501.66,1079.56
658,889.79,1503.22,1058.57
659,889.91,1504.77,1047.17
660,890.03,1506.32,1049.33
661,890.16,1507.87,1059.80
662,890.28,1509.42,1073.83
663,890.40,1510.97,1089.35
664,890.53,1512.52,1105.25
665,890.65,1514.07,1115.41
666,890.77,1515.61,1122.24
667,890.89,1517.16,1121.96
668,891.02,1518.70,1119.50
669,891.14,1520.24,1116.29
670,891.26,1521.78,1113.07
671,891.38,1523.32,1112.80
672,891.51,1524.86,1108.35
673,891.63,1526.40,1111.63
674,891.75,1527.94,1115.11
675,891.87,1529.48,1121.50
676,891.99,1531.01,1131.65
677,892.12,1532.55,1142.00
678,892.24,1534.08,1149.74
679,892.36,1535.61,1163.92
680,892.48,1537.15,1177.81
681,892.60,1538.68,1192.04
682,892.73,1540.21,1212.08
683,892.85,1541.73,1231.93
684,892.97,1543.26,1257.24
685,893.09,1544.79,1287.40
686,893.21,1546.32,1322.97
687,893.34,1547.84,1364.56
688,893.46,1549.36,1413.20
689,893.58,1550.89,1470.05
690,893.70,1552.41,1538.55
691,893.82,1553.93,1614.78
692,893.94,1555.45,1694.94
693,894.06,1556.97,1780.38
694,894.19,1558.49,1845.08
695,894.31,1560.00,1896.82
696,894.43,1561.52,1943.83
697,894.55,1563.03,1997.04
698,894.67,1564.55,2078.27
699,894.79,1566.06,2229.32
700,894.91,1567.57,2460.96
701,895.03,1569.08,2822.77
702,895.16,1570.59,3347.89
703,895.28,1572.10,4068.80
704,895.40,1573.61,4789.87
705,895.52,1575.12,5360.58
706,895.64,1576.62,5697.83
707,895.76,1578.13,5850.74
708,895.88,1579.63,5864.99
709,896.00,1581.13,5786.90
710,896.12,1582.64,5905.82
711,896.24,1584.14,6402.52
712,896.36,1585.64,7513.19
713,896.48,1587.14,9552.39
714,896.60,1588.63,12865.63
715,896.72,1590.13,17489.10
716,896.84,1591.63,22376.27
717,896.96,1593.12,26589.55
718,897.08,1594.62,29755.40
719,897.20,1596.11,31449.86
720,897.32,1597.60,30572.55
721,897.44,1599.09,27347.87
722,897.56,1600.58,22990.83
723,897.68,1602.07,18491.02
724,897.80,1603.56,13832.63
725,897.92,1605.05,9633.07
726,898.04,1606.53,6573.49
727,898.16,1608.02,4646.60
728,898.28,1609.50,3536.58
729,898.40,1610.98,2927.45
730,898.52,1612.47,2616.24
731,898.64,1613.95,2454.47
732,898.76,1615.43,2373.33
733,898.88,1616.91,2322.52
734,899.00,1618.38,2273.12
735,899.12,1619.86,2227.23
736,899.24,1621.34,2187.57
737,899.36,1622.81,2166.11
738,899.48,1624.29,2160.17
739,899.60,1625.76,2166.68
740,899.72,1627.23,2172.66
741,899.84,1628.70,2180.54
742,899.95,1630.17,2207.67
743,900.07,1631.64,2286.33
744,900.19,1633.11,2417.56
745,900.31,1634.58,2580.73
746,900.43,1636.04,2769.06
747,900.55,1637.51,3005.02
748,900.67,1638.97,3343.21
749,900.79,1640.44,3932.49
750,900.91,1641.90,5174.52
751,901.02,1643.36,7895.16
752,901.14,1644.82,12837.31
753,901.26,1646.28,18483.46
754,901.38,1647.74,22553.09
755,901.50,1649.19,24374.60
